"","X","SEX","RACE","RELIG","FUND","MARITAL","ATTEND","PREMARSX","XMARSEX","HOMOSEX","TEENSEX","ABANY","CAPPUN","GUNLAW","GRASS","PRAYER","NATCITY","NATHEAL","NATCRIME","NATDRUG","NATEDUC","NATRACE","NATFARE","NATROAD","NATMASS","CONCLERG","CONEDUC","CONFED","CONPRESS","CONJUDGE","CONLEGIS","FECHLD","FEHELP","FEPRESCH","FEFAM","RACDIF1","LIVEBLKS","MARBLK","DISCAFF","PARTY","IDEOLOGY","AGESUM","INCOME","EDUC2","REGION2","CITY","RURAL","PROT","NEWFUND"
"569",569,"male","Black","Protestant","moderate","Divorced","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","great confidence","great confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Strongly agree","Disagree","Disagree","Agree","No","Somewhat Favor","Very Much Favor",NA,"Democrat","liberal","45 to 59","$35,000 to $59,000","some college","North Central","suburb of biggest 100 cities",0,1,NA
"570",570,"male","White","Protestant","liberal","Divorced","LESS ONCE A YEAR","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Approve","Too little","Too little","About right","Too much","Too little","About right","Too much","Too little","Too little","Hardly confidnce","Hardly confidnce","some confidence","some confidence","great confidence","some confidence","Disagree","Strong disagree","Strong disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","liberal","30 to 44","$35,000 to $59,000","some college","North Central","suburb of biggest 100 cities",0,1,1
"571",571,"female","White","Protestant","moderate","Never married","2-3 TIMES MONTH","Wrong sometimes","Always wrong","Always wrong","Always wrong",NA,"Favor","Favor",NA,"Disapprove",NA,NA,"Too little","Too little","Too little",NA,"About right","About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Independent","moderate","18 to 29","$20,000 to $34,999","high school graduate","North Central","suburb of biggest 100 cities",0,1,NA
"572",572,"female","White","Protestant","liberal","Married","EVERY WEEK",NA,"Always wrong","Wrong sometimes",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","great confidence","some confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","moderate","30 to 44","$60,000 or more","college graduate","South","suburb of biggest 100 cities",0,1,1
"573",573,"female","White","Catholic","moderate","Separated","LESS ONCE A YEAR",NA,"Always wrong","Not wrong at all",NA,"No","Favor","Favor","Should",NA,"About right","Too little","About right","About right","About right","About right","Too much","About right","About right","some confidence","some confidence","some confidence","Hardly confidnce","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","liberal","18 to 29","under $20,000","some college","South","suburb of biggest 100 cities",0,0,NA
"574",574,"female","White","None","liberal","Never married","NEVER","Not wrong at all","Always wrong","Not wrong at all","Always wrong","Yes","Favor","Favor",NA,"Approve","About right","Too little","About right","About right","About right","Too little","About right","About right","About right",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd","Not very likely","Democrat","liberal","18 to 29","under $20,000","some college","South","suburb of biggest 100 cities",0,0,1
"575",575,"female","White","Catholic","moderate","Married","EVERY WEEK","Not wrong at all",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","Agree","Disagree","Disagree","Strong disagree","Yes","Very Much Favor","Not Favor/Opposd",NA,"Democrat","liberal","30 to 44","$60,000 or more","college graduate","South","suburb of biggest 100 cities",0,0,NA
"576",576,"female","Black","None","liberal","Widowed","SEVERAL TIMES WK",NA,"Always wrong","Almst alwys wrng",NA,"No","Oppose","Favor","Should",NA,"Too little","Too little","Too little","Too little","Too little","Too little",NA,"Too little","Too little","great confidence","great confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","conservative","30 to 44","$20,000 to $34,999","some college","South","suburb of biggest 100 cities",0,0,1
"577",577,"male","Black","Protestant","fundamentalist","Divorced","ONCE OR TWICE YR","Wrong sometimes","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Disapprove","Too little","Too little","Too little","About right","Too little","Too little","Too much","About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","Yes","Somewhat Favor","Somewhat Favor","Not very likely","Democrat","moderate","30 to 44","$35,000 to $59,000","high school graduate","South","suburb of biggest 100 cities",0,1,3
"578",578,"male","White","Protestant","fundamentalist","Married","EVERY WEEK","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Approve","Too little","About right","Too little","About right","About right","About right","Too much","About right","About right",NA,NA,NA,NA,NA,NA,"Disagree",NA,NA,"Agree","No","Not Favor/Opposd","Not Favor/Opposd","Not very likely","Republican","conservative","30 to 44","$60,000 or more","college graduate","South","suburb of biggest 100 cities",0,1,3
"579",579,"female","White","Catholic","moderate","Never married","2-3 TIMES MONTH","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Strongly agree","Disagree","Disagree","Strong disagree","No","Very Much Favor","Somewhat Favor",NA,"Republican","conservative","30 to 44","$35,000 to $59,000","college graduate","South","suburb of biggest 100 cities",0,0,NA
"580",580,"female","White","None","liberal","Married","ONCE OR TWICE YR","Wrong sometimes","Always wrong",NA,"Almst alwys wrng","Yes","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Strong disagree","Disagree","Strong disagree","No","Somewhat Opposed","Not Favor/Opposd","Not very likely","Independent","liberal","18 to 29","$20,000 to $34,999","college graduate","South","suburb of biggest 100 cities",0,0,1
"581",581,"female","White","Catholic","moderate","Divorced","ONCE OR TWICE YR",NA,"Always wrong","Not wrong at all",NA,"No",NA,"Favor","Should not",NA,"About right","About right","Too little","Too much","Too little","About right","About right","About right","About right","great confidence","Hardly confidnce","great confidence","great confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","conservative","45 to 59","under $20,000","less than h.s. diploma","South","suburb of biggest 100 cities",0,0,NA
"582",582,"male","White","None","liberal","Married","NEVER","Wrong sometimes",NA,NA,"Always wrong",NA,"Oppose",NA,NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","Hardly confidnce","some confidence","great confidence","some confidence","great confidence","great confidence","Disagree","Agree",NA,"Disagree",NA,"Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","moderate","45 to 59","$20,000 to $34,999","college graduate","South","suburb of biggest 100 cities",0,0,1
"583",583,"male","White","Catholic","moderate","Never married","LESS ONCE A YEAR",NA,"Always wrong","Always wrong",NA,NA,"Oppose","Favor","Should",NA,"Too little","Too little","Too little","Too little","About right","About right","Too much","About right","About right","some confidence","great confidence","Hardly confidnce","great confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","moderate","18 to 29","under $20,000","some college","South","suburb of biggest 100 cities",0,0,NA
"584",584,"female","Black","Protestant","fundamentalist","Never married","2-3 TIMES MONTH","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Approve","Too little","Too little","Too little","About right","Too little","Too little","Too much","Too much","About right","Hardly confidnce","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Agree","Agree","Disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","moderate","18 to 29","under $20,000","college graduate","South","suburb of biggest 100 cities",0,1,3
"585",585,"female","White","None","liberal","Divorced","NEVER","Wrong sometimes",NA,NA,"Always wrong",NA,"Oppose",NA,"Should","Approve","Too little","Too little","Too little","Too little","Too little","About right","About right","Too little","About right","Hardly confidnce","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","Disagree","Disagree","Disagree","Disagree","No","Very Much Favor","Very Much Opposd",NA,"Democrat","conservative","45 to 59","under $20,000","less than h.s. diploma","South","suburb of biggest 100 cities",0,0,1
"586",586,"female","Black","Protestant","fundamentalist","Never married","2-3 TIMES MONTH",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,"Too little","Too little","Too little","Too little","About right","About right","About right","About right","About right","some confidence","some confidence","Hardly confidnce","great confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","liberal","45 to 59","under $20,000","some college","South","suburb of biggest 100 cities",0,1,3
"587",587,"female","Other","Protestant","fundamentalist","Married","EVERY WEEK",NA,"Almst alwys wrng","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","great confidence",NA,"great confidence","some confidence",NA,"great confidence",NA,NA,NA,NA,NA,NA,NA,NA,"Independent",NA,"30 to 44",NA,"college graduate","South","suburb of biggest 100 cities",0,1,3
"588",588,"female","Black","Protestant","fundamentalist","Divorced","NEVER","Not wrong at all","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd","Very likely","Republican","conservative","30 to 44","under $20,000","high school graduate","South","suburb of biggest 100 cities",0,1,3
"589",589,"female","Black","Protestant","fundamentalist","Never married","LESS ONCE A YEAR","Wrong sometimes","Always wrong","Always wrong","Always wrong","Yes","Favor","Favor",NA,"Disapprove","Too little","Too little","Too little","Too little","Too little","Too little","About right","Too much","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Agree","Yes","Very Much Favor","Not Favor/Opposd","Not very likely","Republican","conservative","30 to 44","$20,000 to $34,999","some college","South","suburb of biggest 100 cities",0,1,3
"590",590,"female","Black","Protestant","fundamentalist","Married","SEVERAL TIMES WK","Almst alwys wrng",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","Too little","About right","Too little",NA,"Too little","Too little","Too much","About right","About right","great confidence","great confidence","some confidence","some confidence","great confidence","some confidence","Agree","Disagree","Disagree","Disagree","Yes","Somewhat Favor","Not Favor/Opposd",NA,"Democrat","conservative","18 to 29","$20,000 to $34,999","some college","South","suburb of biggest 100 cities",0,1,3
"591",591,"male","White","Protestant","fundamentalist","Married","ONCE OR TWICE YR","Not wrong at all","Almst alwys wrng","Always wrong","Almst alwys wrng","Yes","Favor","Favor",NA,"Approve","About right","About right","Too little","About right","Too little","About right","Too much","About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Republican","conservative","60 or older","$20,000 to $34,999","some college","South","suburb of biggest 100 cities",0,1,3
"592",592,"male","White","Catholic","moderate","Married","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","moderate","60 or older","$20,000 to $34,999","college graduate","South","suburb of biggest 100 cities",0,0,NA
"593",593,"female","White","Protestant","fundamentalist","Married","ONCE OR TWICE YR","Wrong sometimes","Wrong sometimes","Wrong sometimes","Always wrong","No","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree",NA,"Not Favor/Opposd","Somewhat Opposed","Somewhat likely","Independent","moderate","45 to 59","$60,000 or more","high school graduate","South","suburb of biggest 100 cities",0,1,3
"594",594,"female","White","None","liberal","Married","NEVER","Not wrong at all",NA,NA,NA,NA,"Oppose",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"About right",NA,"some confidence","great confidence","some confidence","Hardly confidnce","great confidence","some confidence","Agree","Disagree","Disagree","Disagree",NA,"Not Favor/Opposd","Somewhat Opposed",NA,"Independent","moderate","30 to 44","$35,000 to $59,000","some college","South","suburb of biggest 100 cities",0,0,1
"595",595,"female","White","Catholic","moderate","Divorced","LESS ONCE A YEAR","Almst alwys wrng",NA,NA,"Always wrong",NA,"Oppose",NA,"Should","Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too much","some confidence","some confidence","Hardly confidnce","Hardly confidnce","great confidence","some confidence","Strongly agree","Disagree","Disagree","Disagree",NA,"Not Favor/Opposd","Not Favor/Opposd",NA,"Republican","moderate","45 to 59","$60,000 or more","college graduate","South","suburb of biggest 100 cities",0,0,NA
"596",596,"female","White","Catholic","moderate","Married","SEVERAL TIMES WK","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Approve","About right","Too little","Too little",NA,"Too little","Too much","About right","About right","About right","great confidence","great confidence","some confidence","some confidence","great confidence","some confidence",NA,"Agree",NA,"Agree",NA,"Not Favor/Opposd",NA,NA,"Independent","moderate","60 or older",NA,"high school graduate","South","suburb of biggest 100 cities",0,0,NA
"597",597,"male","White","Protestant","fundamentalist","Never married","ONCE A MONTH","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,"Oppose",NA,NA,"Approve","Too little","About right","Too little","About right","About right",NA,"Too little","About right","About right","some confidence","some confidence","great confidence",NA,"great confidence","some confidence","Disagree","Disagree",NA,"Disagree","No","Somewhat Favor","Somewhat Favor",NA,"Republican","moderate","18 to 29","$60,000 or more","less than h.s. diploma","North Central","suburb of biggest 100 cities",0,1,3
"598",598,"male","White","Protestant","liberal","Married","EVERY WEEK","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Agree","Disagree","Disagree","Agree","No","Somewhat Opposed","Somewhat Opposed",NA,"Republican","conservative","30 to 44","$60,000 or more","college graduate","North Central","suburb of biggest 100 cities",0,1,1
"599",599,"male","White","Protestant","liberal","Married","2-3 TIMES MONTH",NA,"Almst alwys wrng","Not wrong at all",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","some confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Republican","conservative","60 or older","$60,000 or more","college graduate","North Central","suburb of biggest 100 cities",0,1,1
"600",600,"female","White","Catholic","moderate","Married","NEARLY EVERY WK",NA,"Almst alwys wrng","Not wrong at all",NA,"Yes","Oppose","Favor","Should not",NA,"About right","Too little","About right","About right","Too little","About right","Too much","About right","Too little","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","great confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","liberal","30 to 44","$60,000 or more","college graduate","North Central","suburb of biggest 100 cities",0,0,NA
"601",601,"male","White","Jewish","liberal","Married","EVERY WEEK","Wrong sometimes","Always wrong","Always wrong","Always wrong","Yes","Favor","Favor",NA,"Approve","About right","Too little","About right","Too little","Too little","About right","About right","About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Very Much Opposd","Not very likely","Independent","moderate","45 to 59","$60,000 or more","college graduate","North Central","suburb of biggest 100 cities",0,0,1
"602",602,"female","Black","Protestant","fundamentalist","Married","SEVERAL TIMES YR","Always wrong","Always wrong","Always wrong","Always wrong","No","Oppose","Oppose",NA,"Disapprove","Too little","Too little","Too little","About right","Too little","Too little","About right","About right","Too little",NA,NA,NA,NA,NA,NA,"Strong disagree","Agree","Disagree","Strongly agree","Yes","Very Much Favor","Very Much Favor","Not very likely","Democrat","conservative","30 to 44","$20,000 to $34,999","high school graduate","North Central","suburb of biggest 100 cities",0,1,3
"603",603,"male","White","None","liberal","Married","NEVER","Wrong sometimes",NA,NA,"Not wrong at all",NA,"Favor",NA,NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Strongly agree","Disagree","Disagree","Disagree","No","Somewhat Favor","Somewhat Opposed",NA,"Democrat","liberal","45 to 59","$20,000 to $34,999","less than h.s. diploma","North Central","suburb of biggest 100 cities",0,0,1
"604",604,"female","White","None","liberal","Never married","LESS ONCE A YEAR","Not wrong at all","Almst alwys wrng","Wrong sometimes","Always wrong","Yes","Favor","Favor",NA,"Disapprove","Too little","Too little","Too little","Too much","Too little",NA,"About right","Too little","Too little",NA,NA,NA,NA,NA,NA,"Strongly agree","Strong disagree","Disagree","Strong disagree","Yes","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","liberal","30 to 44","$20,000 to $34,999","some college","North Central","suburb of biggest 100 cities",0,0,1
"605",605,"male","White","Protestant","liberal","Married","EVERY WEEK","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","Hardly confidnce","some confidence","Hardly confidnce","some confidence","some confidence","Hardly confidnce","Disagree","Agree","Strongly agree","Agree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Republican","moderate","30 to 44","$20,000 to $34,999","high school graduate","North Central","suburb of biggest 100 cities",0,1,1
"606",606,"female","White","Protestant","fundamentalist","Never married","SEVERAL TIMES YR","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too much","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","some confidence","Disagree","Strong disagree","Disagree","Disagree","Yes","Somewhat Favor","Somewhat Favor",NA,"Independent","conservative","30 to 44","$35,000 to $59,000","college graduate","North Central","suburb of biggest 100 cities",0,1,3
"607",607,"female","Black","None","liberal","Divorced","LESS ONCE A YEAR","Not wrong at all",NA,NA,"Not wrong at all",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","Strong disagree","Disagree","Strong disagree","Agree","No","Very Much Favor","Very Much Favor",NA,"Democrat","liberal","45 to 59","$35,000 to $59,000","some college","North Central","suburb of biggest 100 cities",0,0,1
"608",608,"female","Black","Protestant","fundamentalist","Married","EVERY WEEK","Almst alwys wrng","Always wrong","Not wrong at all","Always wrong","Yes","Favor","Favor",NA,"Disapprove","Too little","Too little","Too little","Too little","Too little","Too little","About right","About right","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Disagree","Disagree","Yes","Very Much Favor","Very Much Favor","Not very likely","Republican","moderate","18 to 29","$35,000 to $59,000","college graduate","North Central","suburb of biggest 100 cities",0,1,3
"609",609,"female","White","None","liberal","Married","NEVER","Not wrong at all","Always wrong","Always wrong","Always wrong","Yes","Favor","Oppose",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little",NA,NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd","Very likely","Independent","moderate","30 to 44","$60,000 or more","high school graduate","North Central","suburb of biggest 100 cities",0,0,1
"610",610,"male","White",NA,NA,"Married","SEVERAL TIMES YR","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","great confidence","some confidence","great confidence","great confidence","great confidence","Agree","Disagree","Strong disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","conservative","30 to 44","$35,000 to $59,000","high school graduate","North Central","suburb of biggest 100 cities",0,0,NA
"611",611,"female","White","Protestant","liberal","Divorced","LESS ONCE A YEAR",NA,"Always wrong","Always wrong",NA,"No",NA,"Favor","Should not",NA,"Too much","About right","Too little","Too little","Too little",NA,"Too much","Too little",NA,"some confidence","some confidence","Hardly confidnce","great confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","conservative","60 or older","under $20,000","less than h.s. diploma","North Central","suburb of biggest 100 cities",0,1,1
"612",612,"female","White","Protestant","fundamentalist","Divorced","SEVERAL TIMES YR","Not wrong at all",NA,NA,"Almst alwys wrng",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","great confidence","great confidence","great confidence","great confidence","great confidence","Strongly agree","Disagree","Strong disagree","Disagree","No","Very Much Favor","Very Much Favor",NA,"Democrat","moderate","30 to 44","under $20,000","less than h.s. diploma","North Central","suburb of biggest 100 cities",0,1,3
"613",613,"female","White","Catholic","moderate","Widowed","2-3 TIMES MONTH","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little",NA,"great confidence","some confidence","Hardly confidnce","some confidence","Hardly confidnce","great confidence","Disagree","Disagree","Strong disagree","Agree","No","Somewhat Opposed","Very Much Opposd",NA,"Republican","conservative","60 or older",NA,"some college","North Central","other urban county",0,0,NA
"614",614,"female","White","Protestant","fundamentalist","Married","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","Too little","Too little","Too little","Too little","Too little","About right","Too little","About right","About right","some confidence","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Agree","Disagree","Disagree","Strong disagree","No","Very Much Opposd","Somewhat Opposed",NA,"Independent","conservative","45 to 59","$35,000 to $59,000","some college","North Central","other urban county",0,1,3
"615",615,"female","White","Protestant","fundamentalist","Divorced","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,"Too little","About right","Too little","Too little","Too little","About right","Too much","About right","Too little","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,NA,"Independent","moderate","45 to 59","$20,000 to $34,999","some college","North Central","other urban county",0,1,3
"616",616,"male","White","Other",NA,"Married","ONCE OR TWICE YR","Not wrong at all","Always wrong","Always wrong","Wrong sometimes","Yes","Favor","Oppose",NA,"Disapprove","Too much","Too much","Too much","Too much","Too much","Too much","Too much","Too little","Too much",NA,NA,NA,NA,NA,NA,"Strong disagree",NA,"Strongly agree","Strongly agree","No","Somewhat Opposed","Not Favor/Opposd",NA,"Republican","conservative","30 to 44",NA,"high school graduate","South","suburb of biggest 100 cities",0,0,NA
"617",617,"female","White","Protestant","fundamentalist","Separated","ONCE OR TWICE YR","Not wrong at all","Wrong sometimes","Wrong sometimes","Wrong sometimes","Yes","Oppose","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Agree","Strong disagree","No","Not Favor/Opposd","Not Favor/Opposd","Very likely","Independent","conservative","45 to 59","$60,000 or more","college graduate","South","suburb of biggest 100 cities",0,1,3
"618",618,"male","White","Catholic","moderate","Married","ONCE OR TWICE YR",NA,"Almst alwys wrng","Not wrong at all",NA,"Yes","Favor","Favor","Should",NA,NA,NA,NA,NA,NA,NA,NA,"Too much","About right","some confidence","great confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","conservative","45 to 59","$60,000 or more","some college","South","suburb of biggest 100 cities",0,0,NA
"619",619,"female","White","Protestant","fundamentalist","Never married","SEVERAL TIMES YR","Not wrong at all","Always wrong","Almst alwys wrng","Almst alwys wrng","No","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Disagree","Strongly agree","No","Very Much Opposd","Very Much Opposd","Very likely","Republican","liberal","30 to 44","$60,000 or more","college graduate","South","suburb of biggest 100 cities",0,1,3
"620",620,"female","White","Protestant","liberal","Married","ONCE OR TWICE YR",NA,"Almst alwys wrng","Always wrong",NA,"Yes","Favor","Oppose","Should",NA,"Too much","About right","Too little","Too little","Too much","About right","About right","Too little","Too much","some confidence","Hardly confidnce","great confidence","Hardly confidnce","great confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","liberal","30 to 44","$35,000 to $59,000","high school graduate","South","suburb of biggest 100 cities",0,1,1
"621",621,"female","White","Catholic","moderate","Widowed","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","great confidence","great confidence","great confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","conservative","60 or older",NA,"high school graduate","South","suburb of biggest 100 cities",0,0,NA
"622",622,"male","White","Catholic","moderate","Married","LESS ONCE A YEAR",NA,"Always wrong","Not wrong at all",NA,"Yes","Favor","Favor","Should",NA,"Too little","Too little","Too little","Too little","Too little","Too much","Too much","About right","Too little","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","liberal","30 to 44","$35,000 to $59,000","some college","South","suburb of biggest 100 cities",0,0,NA
"623",623,"male","White","Catholic","moderate","Never married","EVERY WEEK",NA,"Always wrong","Not wrong at all",NA,"Yes","Favor","Favor","Should",NA,NA,NA,NA,NA,NA,NA,NA,"Too much","About right","some confidence","Hardly confidnce",NA,"Hardly confidnce",NA,"Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","moderate","30 to 44","$35,000 to $59,000","high school graduate","South","suburb of biggest 100 cities",0,0,NA
"624",624,"female","White","Catholic","moderate","Never married","EVERY WEEK","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Approve","Too little","Too little","Too little","Too little","Too little","About right","About right","About right","Too little","great confidence","great confidence","Hardly confidnce","some confidence","some confidence","some confidence","Strongly agree","Disagree","Agree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","moderate","18 to 29","under $20,000","less than h.s. diploma","South","suburb of biggest 100 cities",0,0,NA
"625",625,"female","White","Protestant","liberal","Married","2-3 TIMES MONTH",NA,"Always wrong","Always wrong",NA,"Yes","Oppose","Favor","Should",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","liberal","45 to 59","$60,000 or more","some college","South","suburb of biggest 100 cities",0,1,1
"626",626,"male","White","None","liberal","Never married","NEVER","Not wrong at all",NA,NA,"Not wrong at all",NA,"Favor",NA,"Should","Approve","About right","About right","About right","About right","Too little","About right","About right","About right","About right","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","Hardly confidnce","Strongly agree","Agree","Strong disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","moderate","30 to 44","$35,000 to $59,000","high school graduate","North Central","suburb of biggest 100 cities",0,0,1
"627",627,"female","White","Catholic","moderate","Widowed","NEVER","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little","some confidence","great confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Agree","Agree","Disagree","Agree","No","Not Favor/Opposd","Very Much Opposd",NA,"Democrat","conservative","60 or older",NA,"less than h.s. diploma","North Central","suburb of biggest 100 cities",0,0,NA
